Date,All,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,Other
2/1/15,163,0,3,0,14,65,0,22,59,0
1/1/15,102,0,0,0,38,0,0,0,64,0
1/6/13,308,0,0,231,13,0,0,0,64,0
2/6/13,180,0,1,60,94,0,1,0,24,0
3/6/13,338,0,0,276,13,0,4,0,45,0
4/6/13,316,0,19,153,62,0,2,0,80,0
5/6/13,264,0,2,195,12,0,0,1,54,0
6/6/13,111,0,1,64,30,0,0,0,16,0
7/6/13,312,0,7,258,4,0,0,0,43,0
8/6/13,312,0,5,209,9,1,0,1,87,0
9/6/13,166,0,22,80,27,0,0,2,35,0
18/8/01,945,0,22,675,86,0,0,0,162,0
19/8/01,663,0,32,164,229,1,0,0,237,0
10/8/01,461,0,20,91,165,1,0,1,183,0
11/8/01,750,0,0,494,125,0,0,0,131,0
12/8/01,624,0,3,195,169,0,0,1,256,0
13/8/01,933,0,6,617,159,4,0,3,144,0
14/8/01,910,0,39,477,96,0,0,5,293,0
15/8/01,694,0,15,302,286,6,0,0,85,0
16/8/01,1279,0,41,867,76,3,0,0,292,0
17/8/01,512,0,17,139,198,8,0,0,150,0
13/3/14,258,0,99,2,11,11,18,2,115,0
12/3/14,189,0,11,0,30,17,3,9,119,0
11/12/01,229,0,37,2,141,0,0,0,49,0
10/12/01,80,0,0,14,25,0,0,0,41,0
17/3/14,295,4,41,2,57,7,1,0,183,0
16/3/14,321,0,13,0,60,0,0,2,246,0
15/3/14,210,0,2,3,39,1,0,3,162,0
14/3/14,181,0,23,0,20,8,0,5,125,0
19/3/14,492,0,98,5,38,23,0,8,320,0
18/3/14,444,1,86,13,46,21,8,0,269,0
11/3/12,55,0,12,8,10,7,0,13,5,0
19/5/05,1236,0,96,618,40,192,17,82,191,0
18/5/05,663,0,100,282,94,54,16,36,81,0
10/3/12,69,0,28,14,4,7,1,3,12,0
13/5/05,677,6,54,198,175,26,33,18,167,0
12/5/05,866,18,90,255,25,120,18,37,303,0
11/5/05,463,13,135,80,4,69,5,22,135,0
10/5/05,566,13,87,151,8,120,5,34,148,0
17/5/05,870,0,63,447,92,31,17,44,176,0
13/3/12,225,0,35,6,6,49,18,89,22,0
15/5/05,588,0,26,276,62,1,0,8,215,0
14/5/05,720,8,73,352,76,0,5,26,180,0
12/3/12,118,0,11,3,8,3,1,41,51,0
14/3/12,124,0,36,3,0,0,6,40,39,0
17/3/12,46,0,6,12,0,5,0,6,17,0
16/3/12,43,0,9,0,1,3,0,0,30,0
18/7/04,745,0,20,512,65,0,0,0,148,0
19/7/04,911,0,21,540,69,1,1,0,279,0
14/7/04,699,0,72,422,91,3,4,1,106,0
15/7/04,513,0,54,206,138,3,0,0,112,0
16/7/04,598,0,77,317,81,0,0,3,120,0
17/7/04,566,0,19,378,50,0,0,0,119,0
10/7/04,549,0,2,330,64,4,0,2,147,0
11/7/04,293,0,4,144,39,0,0,0,106,0
12/7/04,389,0,11,201,31,0,2,1,143,0
13/7/04,347,0,27,109,101,0,3,0,107,0
18/12/06,1606,0,72,349,243,2,79,697,164,0
19/12/06,806,0,56,202,367,0,17,75,89,0
10/12/06,1440,1,134,201,138,25,59,487,395,0
11/12/06,1587,0,114,176,106,21,123,799,248,0
12/12/06,1188,0,76,90,281,22,82,491,146,0
13/12/06,1458,0,18,234,234,11,77,666,218,0
14/12/06,1388,0,4,65,322,0,53,817,127,0
15/12/06,797,0,32,117,378,0,115,47,108,0
16/12/06,660,0,51,89,294,0,22,54,150,0
17/12/06,1405,0,79,195,563,1,27,381,159,0
28/6/17,329,0,2,176,62,1,0,0,88,0
29/6/17,277,0,12,91,54,0,0,0,120,0
22/6/17,517,0,54,132,222,3,0,3,103,0
23/6/17,569,0,49,323,86,0,0,2,109,0
20/6/17,680,0,72,196,253,3,0,12,144,0
21/6/17,1088,0,50,780,74,7,0,3,174,0
26/6/17,357,0,37,218,26,0,0,0,76,0
27/6/17,564,0,4,164,305,2,0,0,89,0
24/6/17,375,0,39,93,91,0,0,0,152,0
25/6/17,383,0,29,258,33,1,0,1,61,0
26/8/11,1689,0,41,1156,142,4,0,2,344,0
27/8/11,1211,0,11,858,99,4,0,1,238,0
24/8/11,2027,0,26,1371,193,2,0,7,428,0
25/8/11,1839,1,59,1107,430,0,0,4,238,0
22/8/11,1795,0,18,1090,251,2,0,0,434,0
23/8/11,2172,0,31,1644,238,4,1,2,252,0
20/8/11,1408,0,2,641,403,1,0,0,361,0
21/8/11,1889,0,9,1316,191,0,0,1,372,0
28/8/11,1932,0,21,1449,198,3,0,5,256,0
29/8/11,2152,0,22,1026,815,3,0,0,286,0
1/11/17,1947,0,38,614,443,0,0,0,852,0
2/11/17,2499,0,29,1451,306,0,0,0,713,0
3/11/17,2441,0,26,998,348,2,0,2,1065,0
4/11/17,2342,1,7,1148,317,0,0,1,868,0
5/11/17,2543,0,4,1195,294,2,7,5,1036,0
6/11/17,1539,0,6,568,568,2,1,0,394,0
7/11/17,1765,0,17,231,266,20,4,0,1227,0
8/11/17,1565,0,18,107,444,2,0,0,994,0
9/11/17,1930,0,28,860,112,1,16,16,897,0
18/3/04,284,0,81,0,27,33,2,48,93,0
19/3/04,209,0,94,1,9,19,4,28,54,0
10/3/04,220,0,82,6,34,4,24,3,67,0
11/3/04,139,0,16,5,15,13,1,19,70,0
12/3/04,118,0,6,7,12,1,15,16,61,0
13/3/04,154,0,24,3,12,3,10,20,82,0
