latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
-21.699,115.003,342.8,1.6,1.3,2017-09-19,1802,Aqua,MODIS,100,6.1,293.7,99.3
-21.699,114.992,326.9,3,1.6,2017-09-20,1537,Terra,MODIS,100,6.1,294.3,122.9
-21.697,114.997,356.3,1,1,2017-09-20,0612,Aqua,MODIS,97,6.1,317.7,60
-21.699,114.988,344.7,1,1,2017-09-20,0612,Aqua,MODIS,81,6.1,320.4,34.2
-21.698,115.006,324.2,3,1.7,2017-09-20,1707,Aqua,MODIS,100,6.1,293.2,114.7
-21.696,114.999,321.9,3,1.7,2017-09-20,1707,Aqua,MODIS,100,6.1,293.1,103
-21.699,114.991,345.5,1,1,2017-09-21,0233,Terra,MODIS,0,6.1,317,37.7
-21.704,114.982,308.8,1.7,1.3,2017-09-21,1442,Terra,MODIS,76,6.1,293.3,17.4
-21.693,114.991,335.3,1.7,1.3,2017-09-21,1442,Terra,MODIS,100,6.1,294.3,75.5
-21.691,114.996,351.6,1.1,1,2017-09-21,1750,Aqua,MODIS,100,6.1,295.1,75.4
-21.693,115.007,328,1.1,1,2017-09-21,1750,Aqua,MODIS,100,6.1,293.8,30.3
-21.698,114.992,334.2,3.6,1.8,2017-09-22,0315,Terra,MODIS,0,6.1,304.1,147.8
-21.694,114.997,346.1,1.8,1.3,2017-09-22,1525,Terra,MODIS,100,6.1,293.3,127.5
-21.697,114.98,311.7,1.8,1.3,2017-09-22,1525,Terra,MODIS,83,6.1,291.3,26.3
-21.696,114.999,336.3,1.1,1,2017-09-22,0559,Aqua,MODIS,70,6.1,309.5,29.7
-21.703,115.004,335.3,1.4,1.2,2017-09-23,0220,Terra,MODIS,72,6.1,305.2,42.7
-21.708,114.97,319,2.9,1.6,2017-09-23,0642,Aqua,MODIS,33,6.1,304.2,37.4
-21.702,114.99,335.4,2.9,1.6,2017-09-23,0642,Aqua,MODIS,63,6.1,304.2,130.1
-21.694,114.998,337.1,1,1,2017-09-23,1737,Aqua,MODIS,100,6.1,292.4,41.6
-21.699,115.007,332.1,1.8,1.3,2017-09-25,0630,Aqua,MODIS,71,6.1,301.3,53.3
-21.702,114.99,358.8,1.8,1.3,2017-09-25,0630,Aqua,MODIS,86,6.1,305.1,171.3
-21.704,115.001,351.7,1.8,1.3,2017-09-25,0630,Aqua,MODIS,90,6.1,303,133.6
-21.689,114.991,312.2,1.4,1.2,2017-09-25,1725,Aqua,MODIS,84,6.1,287,20.8
-21.695,115.003,301.8,1,1,2017-09-26,1501,Terra,MODIS,44,6.1,289.7,5.2
-21.696,114.994,354.2,1,1,2017-09-26,1501,Terra,MODIS,100,6.1,292.3,73.7
-21.699,114.99,335.2,1.2,1.1,2017-09-27,0618,Aqua,MODIS,71,6.1,314.4,27.8
-21.691,114.992,309.8,2.3,1.5,2017-09-27,1713,Aqua,MODIS,78,6.1,287.8,40.1
-21.694,114.996,322.1,1.3,1.1,2017-09-28,1756,Aqua,MODIS,100,6.1,289.2,31.9
-21.696,115.008,308.6,1.3,1.1,2017-09-28,1756,Aqua,MODIS,75,6.1,288.4,15.1
-21.699,114.997,338.1,1.2,1.1,2017-09-30,0226,Terra,MODIS,73,6.1,311.9,32.9
